start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,oparea_km2,oparea_perc
2023-09-15,5618460,27.3,80380,18.3,9200,9.9,0,0,71180,22.7
2023-09-16,5499750,26.7,47130,10.7,4580,4.9,0,0,42550,13.6
2023-09-17,5494210,26.7,18450,4.2,1820,2,0,0,16620,5.3
2023-09-18,5461070,26.5,8250,1.9,460,0.5,0,0,7800,2.5
2023-09-19,5569710,27.1,6760,1.5,0,0,0,0,6760,2.2
2023-09-20,5476680,26.6,0,0,0,0,0,0,0,0
2023-09-21,5560120,27,450,0.1,450,0.5,0,0,0,0
2023-09-22,5884170,28.6,0,0,0,0,0,0,0,0
2023-09-23,6397520,31.1,1370,0.3,1370,1.5,0,0,0,0
2023-09-24,6721150,32.6,1370,0.3,1370,1.5,0,0,0,0
2023-09-25,6834400,33.2,2270,0.5,2270,2.5,0,0,0,0
2023-09-26,6678370,32.4,450,0.1,450,0.5,0,0,0,0
2023-09-27,6571590,31.9,450,0.1,450,0.5,0,0,0,0
2023-09-28,6499360,31.6,450,0.1,450,0.5,0,0,0,0
2023-09-29,6405520,31.1,450,0.1,450,0.5,0,0,0,0
2023-09-30,6397170,31.1,1810,0.4,1810,2,0,0,0,0
2023-10-01,6263920,30.4,3170,0.7,3170,3.4,0,0,0,0
2023-10-02,6209640,30.2,5410,1.2,5410,5.8,0,0,0,0
2023-10-03,5851540,28.4,3630,0.8,3630,3.9,0,0,0,0
2023-10-04,5451740,26.5,4080,0.9,4080,4.4,0,0,0,0
2023-10-05,5360560,26,2720,0.6,2720,2.9,0,0,0,0
2023-10-06,5730190,27.8,11010,2.5,9480,10.2,0,0,1530,0.5
2023-10-07,6190460,30.1,5570,1.3,4550,4.9,0,0,1020,0.3
2023-10-08,6819480,33.1,3170,0.7,3170,3.4,0,0,0,0
2023-10-09,7306940,35.5,3160,0.7,3160,3.4,0,0,0,0
2023-10-10,7444730,36.2,6380,1.5,6380,6.9,0,0,0,0
2023-10-11,7795840,37.9,8570,2,8570,9.3,0,0,0,0
2023-10-12,7992360,38.8,11290,2.6,11290,12.2,0,0,0,0
2023-10-13,7933570,38.5,8260,1.9,7750,8.4,510,1.9,0,0
2023-10-14,7595170,36.9,4580,1,4060,4.4,510,1.9,0,0
2023-10-15,7632860,37.1,8600,2,4520,4.9,2050,7.5,0,0
2023-10-16,7819690,38,15390,3.5,11320,12.2,2050,7.5,0,0
2023-10-17,7745750,37.6,18440,4.2,15380,16.6,1540,5.6,0,0
2023-10-18,7174660,34.8,23570,5.4,16490,17.8,4070,14.8,1500,0.5
2023-10-19,6399980,31.1,26110,5.9,21520,23.2,4590,16.7,0,0
2023-10-20,6057280,29.4,22080,5,19520,21.1,2570,9.4,0,0
2023-10-21,6051540,29.4,22490,5.1,19960,21.6,2050,7.5,480,0.2
