"STN_ID","Date","SSTP","lat","lon","source"
"C46304 Entrance English Bay",2023-06-12,16.747,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-13,16.386,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-14,14.497,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-15,15.885,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-16,16.151,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-17,16.367,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-18,15.852,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-19,15.972,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-20,15.196,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-21,15.403,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-22,16.101,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-23,17.266,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-24,17.363,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-25,17.036,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-26,17.81,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-27,18.153,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-28,18.399,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-29,19.161,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-06-30,19.316,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-01,21.75,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-18,21.52,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-19,20.613,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-20,21.393,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-21,20.783,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-22,19.491,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-23,19.462,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-24,20.318,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-25,18.765,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-26,18.68,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-27,19.393,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-28,20.16,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-29,20.261,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-30,18.536,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-07-31,18.895,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-01,19.956,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-02,20.059,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-03,19.395,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-04,19.845,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-05,20.068,49.30167,-123.357,"ECCC"
